20-04 21:59:14 | api.fetch | ERROR | Error fetching live events: 503 Server Error: Service Unavailable for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 08:58:43 | model.predict | ERROR | Erro ao prever para o jogo 9848998: only length-1 arrays can be converted to Python scalars
21-04 08:58:57 | model.predict | ERROR | Erro ao prever para o jogo 9848997: only length-1 arrays can be converted to Python scalars
21-04 09:10:33 | model.predict | ERROR | Erro ao prever para o jogo 9849025: only length-1 arrays can be converted to Python scalars
21-04 09:10:40 | model.predict | ERROR | Erro ao prever para o jogo 9849024: only length-1 arrays can be converted to Python scalars
21-04 09:22:48 | model.predict | ERROR | Erro ao prever para o jogo 9849026: only length-1 arrays can be converted to Python scalars
21-04 09:22:59 | model.predict | ERROR | Erro ao prever para o jogo 9849029: only length-1 arrays can be converted to Python scalars
21-04 09:34:43 | model.predict | ERROR | Erro ao prever para o jogo 9849167: only length-1 arrays can be converted to Python scalars
21-04 09:35:09 | model.predict | ERROR | Erro ao prever para o jogo 9849166: only length-1 arrays can be converted to Python scalars
21-04 10:23:12 | model.predict | ERROR | Erro ao prever para o jogo 9849382: only length-1 arrays can be converted to Python scalars
21-04 10:23:15 | model.predict | ERROR | Erro ao prever para o jogo 9849383: only length-1 arrays can be converted to Python scalars
21-04 10:34:58 | model.predict | ERROR | Erro ao prever para o jogo 9849460: only length-1 arrays can be converted to Python scalars
21-04 10:34:59 | model.predict | ERROR | Erro ao prever para o jogo 9849461: only length-1 arrays can be converted to Python scalars
21-04 10:46:33 | model.predict | ERROR | Erro ao prever para o jogo 9849462: only length-1 arrays can be converted to Python scalars
21-04 10:46:40 | model.predict | ERROR | Erro ao prever para o jogo 9849463: only length-1 arrays can be converted to Python scalars
21-04 11:03:51 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 11:11:34 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 11:25:58 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 11:27:47 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 11:48:34 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 11:57:19 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 11:58:31 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 12:07:38 | api.fetch | ERROR | Error fetching live events: ("Connection broken: ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)", ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None))
21-04 12:13:32 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 12:29:00 | api.fetch | ERROR | Error fetching live events: 504 Server Error: Gateway Timeout for url: https://api.b365api.com/v3/events/inplay?token=183604-pWN7flhoAsWGu8&sport_id=1
21-04 12:55:55 | api.validate | WARNING | No odds avaliable for event 9850014
21-04 12:55:57 | model.predict | ERROR | Erro ao prever para o jogo 9850014: unsupported operand type(s) for %: 'NoneType' and 'int'
21-04 12:56:28 | api.validate | WARNING | No odds avaliable for event 9850015
21-04 12:56:29 | model.predict | ERROR | Erro ao prever para o jogo 9850015: unsupported operand type(s) for %: 'NoneType' and 'int'
